,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theme: Economy & Prices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject: Prices and Price Indices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Topic: Consumer Price Index (CPI)/ Inflation Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table Title: Consumer Price Index (CPI), 2024 As Base Year, Monthly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data last updated: 24/03/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: SINGAPORE DEPARTMENT OF STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Index
Data Series,2025 Feb ,2025 Jan ,2024 Dec ,2024 Nov ,2024 Oct ,2024 Sep ,2024 Aug ,2024 Jul ,2024 Jun ,2024 May ,2024 Apr ,2024 Mar ,2024 Feb ,2024 Jan ,2023 Dec ,2023 Nov ,2023 Oct ,2023 Sep ,2023 Aug ,2023 Jul ,2023 Jun ,2023 May ,2023 Apr ,2023 Mar ,2023 Feb ,2023 Jan ,2022 Dec ,2022 Nov ,2022 Oct ,2022 Sep ,2022 Aug ,2022 Jul ,2022 Jun ,2022 May ,2022 Apr ,2022 Mar ,2022 Feb ,2022 Jan ,2021 Dec ,2021 Nov ,2021 Oct ,2021 Sep ,2021 Aug ,2021 Jul ,2021 Jun ,2021 May ,2021 Apr ,2021 Mar ,2021 Feb ,2021 Jan ,2020 Dec ,2020 Nov ,2020 Oct ,2020 Sep ,2020 Aug ,2020 Jul ,2020 Jun ,2020 May ,2020 Apr ,2020 Mar ,2020 Feb ,2020 Jan ,2019 Dec ,2019 Nov ,2019 Oct ,2019 Sep ,2019 Aug ,2019 Jul ,2019 Jun ,2019 May ,2019 Apr ,2019 Mar ,2019 Feb ,2019 Jan ,2018 Dec ,2018 Nov ,2018 Oct ,2018 Sep ,2018 Aug ,2018 Jul ,2018 Jun ,2018 May ,2018 Apr ,2018 Mar ,2018 Feb ,2018 Jan ,2017 Dec ,2017 Nov ,2017 Oct ,2017 Sep ,2017 Aug ,2017 Jul ,2017 Jun ,2017 May ,2017 Apr ,2017 Mar ,2017 Feb ,2017 Jan 
All Items,100.677,99.908,100.661,100.387,100.119,100.645,100.414,99.818,100.104,100.209,99.426,99.712,99.755,98.752,99.177,98.808,98.974,98.776,98.278,97.417,97.645,97.181,96.869,96.792,96.308,95.772,95.591,95.396,94.475,94.854,94.445,93.563,93.423,92.502,91.594,91.715,90.59,89.81,89.781,89.369,88.5,88.248,87.882,87.398,87.569,87.574,86.875,87.019,86.827,86.334,86.358,86.047,85.709,86.073,85.787,85.245,85.52,85.502,85.098,85.888,86.183,86.121,86.325,86.16,85.883,86.069,86.123,85.587,85.974,86.221,85.73,85.917,85.901,85.416,85.67,85.606,85.465,85.729,85.749,85.39,85.514,85.466,84.937,85.337,85.51,85.11,85.274,85.358,84.865,85.11,85.129,84.845,85.043,85.164,84.877,85.136,85.1,85.102
  Food,100.898,100.875,100.551,100.472,100.459,100.235,100.025,99.918,99.865,99.855,99.643,99.686,99.869,99.422,98.266,98.191,97.855,97.68,97.546,97.386,97.224,97.19,96.833,96.499,96.137,96.074,94.748,94.399,93.968,93.654,93.043,92.512,91.804,90.948,90.393,89.574,88.933,88.845,88.153,87.961,87.73,87.602,87.424,87.197,87.077,87.012,86.802,86.698,86.903,86.631,86.352,86.332,86.224,86.205,86.129,86.225,86.281,86.127,85.97,85.483,85.513,85.378,84.972,84.836,84.814,84.698,84.583,84.403,84.332,84.264,84.167,84.195,84.14,83.987,83.591,83.534,83.488,83.454,83.3,83.346,83.175,83.019,82.933,82.783,82.919,82.674,82.449,82.369,82.321,82.122,81.934,82.091,81.92,81.937,81.819,81.648,81.714,81.745
  Food Excl Food & Beverage Serving Services,101.222,101.403,100.752,100.693,100.724,100.691,99.917,99.731,99.601,99.707,99.116,99.58,100.2,99.29,99.275,99.683,99.2,99.093,99.096,98.836,98.663,99.06,98.324,98.27,97.743,98.236,96.886,96.308,95.937,95.762,94.909,94.474,93.877,92.892,92.396,91.528,90.98,91.647,90.501,90.262,89.824,89.672,89.31,89.114,88.906,88.963,88.454,88.435,89.188,88.557,87.917,88.06,88.009,88.275,88.1,88.499,88.797,88.41,87.949,86.573,86.976,86.817,85.968,85.817,85.891,85.625,85.346,85.128,85.083,85.064,84.994,85.246,85.436,85.294,84.784,84.773,84.758,84.725,84.385,84.71,84.424,84.093,83.984,84.005,84.627,84.187,83.673,83.682,83.713,83.419,82.968,83.442,83.121,83.329,83.164,82.921,83.377,83.592
    Rice & Cereal Products,101.617,101.427,101.438,101.563,101.005,100.301,99.642,100.005,99.744,99.66,99.71,99.473,98.808,98.652,98.247,98.287,98.161,97.126,96.956,96.463,96.272,96.385,95.845,95.179,94.567,94.294,93.608,92.964,92.204,91.161,90.712,90.837,90.195,89.143,89.32,88.256,87.556,87.328,87.228,87.41,87.776,86.764,86.438,86.675,86.744,86.767,86.584,86.279,86.264,86.29,85.832,85.83,86.39,86.224,86.275,86.804,87.042,87.019,86.339,85.766,85.805,84.84,85.275,85.244,84.625,84.979,84.405,84.028,84.457,84.231,84.347,83.988,84.241,84.237,83.888,84.043,83.967,83.892,83.333,83.416,83.524,83.332,82.526,82.596,81.97,81.803,81.906,82.671,82.45,81.437,81.446,82.166,81.774,82.475,82.135,82.053,82.064,81.594
      Rice,101.173,101.122,103.735,103.471,101.82,100.371,97.476,98.22,98.297,98.357,100.845,100.036,98.476,98.895,99.893,100.805,100.212,98.972,98.649,98.069,98.33,98.739,96.833,95.872,93.569,94.166,95.306,96.116,95.056,94.443,95.589,96.46,96.391,94.006,96.032,94.188,93.101,93.246,94.38,96.388,97.815,95.297,95.076,96.203,96.761,96.946,97.129,97.356,96.445,96.062,94.832,95.01,97.78,98.534,98.879,99.219,100.129,100.98,100.546,98.389,98.949,95.222,97.953,98.444,97.578,98.318,95.946,95.663,98.082,97.012,95.358,95.559,93.781,94.464,94.007,94.533,94.215,94.323,93.704,93.962,93.325,93.273,91.938,91.329,89.018,90.543,90.796,92.354,92.339,90.034,90.668,91.444,91.301,92.069,93.396,92.742,92.045,89.874
      Flour,101.482,99.844,99.806,99.863,99.854,100.435,99.917,103.38,100.175,99.457,100.132,99.475,100.192,97.318,98.279,99.873,99.191,99.85,101.112,99.885,102.403,106.1,99.702,99.418,98.179,99.023,92.071,90.439,94.737,94.762,89.971,94.328,92.037,87.334,87.079,87.79,87.504,87.397,86.896,86.922,87.538,87.394,87.736,90.758,88.615,87.695,87.479,89.224,93.285,90.092,86.884,86.478,87.098,90.049,90.705,91.682,91.824,92.52,93.375,91.799,91.076,91.637,92.214,91.952,92.394,93.399,92.175,90.836,90.083,91.98,95.617,96.054,91.103,91.017,92.651,93.977,93.398,96.664,92.899,93.157,88.151,88.631,93.97,96.034,90.803,90.572,90.633,96.344,92.367,93.012,95.955,95.642,88.833,95.337,97.611,97.802,97.244,92.15
      Bread,102.658,101.961,101.591,101.492,101.177,100.069,100.111,99.973,100.045,99.915,99.301,98.687,99.092,98.547,97.92,98.098,98.118,96.708,96.581,95.516,94.524,94.922,95.618,94.399,93.656,92.291,92.214,91.064,90.105,88.99,88.908,88.952,88.222,87.309,87.076,86.39,85.849,85.582,85.156,85.184,85.34,84.377,84.21,84.034,83.658,84.271,84.125,82.381,82.658,83.163,82.907,82.916,83.099,82.881,82.934,83.669,83.766,83.336,82.567,82.461,82.532,82.522,83.092,82.215,81.841,81.938,82.607,81.865,81.909,81.755,82.076,82.07,82.473,83.089,82.342,82.24,82.195,82.017,82.084,82.047,81.931,81.858,79.999,80.692,79.727,79.133,79.823,79.807,80.285,80.134,80.284,80.32,80.187,79.729,80.066,80.161,80.221,80.154
"      Macaroni, Noodles & Similar Pasta Products",100.95,100.381,101.442,101.889,100.421,99.548,97.417,97.888,101.117,100.79,100.79,100.658,98.639,99.405,99.882,99.511,99.763,98.366,97.672,99.861,99.269,99.43,98.982,98.625,97.847,97.991,98.699,97.677,96.007,95.789,91.592,93.058,92.975,91.031,90.594,90.99,88.831,87.778,88.774,87.705,88.066,87.2,85.041,85.711,87.811,87.645,87.613,86.715,86.736,86.46,86.506,86.224,86.324,86.172,84.604,85.463,87.347,88.231,86.975,85.294,85.736,83.702,84.785,84.94,84.809,84.242,83.308,83.098,84.164,85.03,84.46,84.405,84.218,84.455,84.199,84.897,84.895,84.228,83.539,83.924,85.25,85.883,85.978,86.138,84.619,85.148,84.963,85.233,85.253,83.558,82.546,84.339,84.512,84.974,84.525,84.684,84.274,84.667
      Biscuits & Cookies,103.146,104.133,101.256,102.743,101.832,101.473,97.201,98.753,97.978,99.442,100.353,100.861,98.947,99.161,99.388,98.434,99.437,99.015,98.694,98.004,98.623,97.879,97.267,97.075,97.174,97.158,97.998,95.404,94.59,94.015,93.134,92.702,92.412,91.39,90.607,88.244,86.813,86.216,86.071,86.388,86.95,85.396,84.606,84.73,85.91,85.742,84.631,85.523,85.537,85.919,85.322,84.969,85.595,84.677,85.501,86.309,86.497,86.493,85.293,84.951,84.062,83.541,83.685,83.478,81.563,81.928,80.853,79.994,81.99,82.075,81.914,79.742,82.608,81.761,81.888,81.976,80.788,80.958,79.021,79.533,81.969,80.685,80.434,80.693,80.988,80.135,79.465,81.43,80.025,77.888,77.366,80.435,79.642,82.7,77.903,78.834,78.897,78.785
