Search Name,Address,Address Lat,Address Long,Nearest MRT Station,Nearest MRT Distance,Nearest Mall Name,Nearest Mall Distance,Nearest NPC,Nearest NPC Distance
406 ANG MO KIO AVE 10,406 ANG MO KIO AVENUE 10,1.36200453938712,103.853879910407,ANG MO KIO MRT STATION (NS16),1.0039974031593881,AMK HUB,1.0172863661687872,Bishan Neighbourhood Police Centre,0.829747125550986
108 ANG MO KIO AVE 4,108 ANG MO KIO AVENUE 4,1.37096635222625,103.838201940326,MAYFLOWER MRT STATION (TE6),0.18987482747522577,AMK HUB,1.1556997199560908,Ang Mo Kio South Neighbourhood Police Centre,1.499927295477616
602 ANG MO KIO AVE 5,602 ANG MO KIO AVENUE 5,1.38070883044887,103.835368226602,LENTOR MRT STATION (TE5),0.5351173556647609,AMK HUB,1.925633431036622,Ang Mo Kio North Neighbourhood Police Centre,1.182303684927525
465 ANG MO KIO AVE 10,465 ANG MO KIO AVENUE 10,1.3662010408294,103.857200967235,ANG MO KIO MRT STATION (NS16),0.9455285964627027,MYVILLAGE AT SERANGOON GARDEN,0.8929039955996004,Ang Mo Kio South Neighbourhood Police Centre,0.7418729543794059
601 ANG MO KIO AVE 5,601 ANG MO KIO AVENUE 5,1.38104134784496,103.835131744823,LENTOR MRT STATION (TE5),0.5011519466787557,AMK HUB,1.9697258712107906,Ang Mo Kio North Neighbourhood Police Centre,1.1922178301065633
150 ANG MO KIO AVE 5,150 ANG MO KIO AVENUE 5,1.37680678506745,103.842017962576,YIO CHU KANG MRT STATION (NS15),0.6394377551850603,AMK HUB,1.0936071791803006,Ang Mo Kio North Neighbourhood Police Centre,0.9741560916455541
447 ANG MO KIO AVE 10,447 ANG MO KIO AVENUE 10,1.36747901420817,103.855967139125,ANG MO KIO MRT STATION (NS16),0.7629129734160209,AMK HUB,0.8591908163441618,Ang Mo Kio South Neighbourhood Police Centre,0.5504601310162055
218 ANG MO KIO AVE 1,218 ANG MO KIO AVENUE 1,1.36511908595886,103.841742478489,MAYFLOWER MRT STATION (TE6),0.9102389448092815,AMK HUB,0.8866025893260363,Bishan Neighbourhood Police Centre,1.049392080928645
571 ANG MO KIO AVE 3,571 ANG MO KIO AVENUE 3,1.37005501296043,103.85488055876,ANG MO KIO MRT STATION (NS16),0.5918188412363066,AMK HUB,0.7155733461986772,Ang Mo Kio South Neighbourhood Police Centre,0.3590911671809702
534 ANG MO KIO AVE 10,534 ANG MO KIO AVENUE 10,1.37405846295585,103.854168170426,ANG MO KIO MRT STATION (NS16),0.6878053800849828,AMK HUB,0.8183356643402211,Ang Mo Kio South Neighbourhood Police Centre,0.539377364680893
